[00:01:01] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: N/A
[00:02:46] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: N/A
[00:03:56] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: N/A
[00:05:06] OCR Snapshot: 6.8086 | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: 0.26%
[00:06:14] OCR Snapshot: 6.7929 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.14%
[00:07:22] OCR Snapshot: 6.7970 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.08%
[00:08:31] OCR Snapshot: 6.7970 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.08%
[00:09:41] OCR Snapshot: 6.7970 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.08%
[00:10:51] OCR Snapshot: 6.8003 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.03%
[00:11:59] OCR Snapshot: 6.8003 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.03%
[00:13:08] OCR Snapshot: 6.8003 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.03%
[00:14:16] OCR Snapshot: 6.8012 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:15:24] OCR Snapshot: 6.8012 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:16:33] OCR Snapshot: 6.8012 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:17:41] OCR Snapshot: 6.8012 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:18:49] OCR Snapshot: 6.8026 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:19:57] OCR Snapshot: 6.8026 | USD/KZT: 464.50 | FRHC: (Live:146.44, Pre:N/A, Post:N/A) | Calculated: 6.8022 | Diff: 0.01%
[00:21:05] OCR Snapshot: 6.8026 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.32%
[00:22:14] OCR Snapshot: 6.8007 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.35%
[00:23:22] OCR Snapshot: 6.8007 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.35%
[00:24:30] OCR Snapshot: 6.8007 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.35%
[00:25:38] OCR Snapshot: 6.8007 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.35%
[00:26:47] OCR Snapshot: 6.7877 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.54%
[00:27:55] OCR Snapshot: 6.7877 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.54%
[00:29:03] OCR Snapshot: 6.7877 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.54%
[00:30:12] OCR Snapshot: 6.7877 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.54%
[00:31:20] OCR Snapshot: 6.7993 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.37%
[00:32:28] OCR Snapshot: 6.7984 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.38%
[00:33:37] OCR Snapshot: 6.7984 | USD/KZT: 464.50 | FRHC: (Live:146.92, Pre:N/A, Post:N/A) | Calculated: 6.8245 | Diff: 0.38%
[00:34:45] OCR Snapshot: 6.7970 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.18%
[00:35:54] OCR Snapshot: 6.7984 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:37:02] OCR Snapshot: 6.7998 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.14%
[00:38:11] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:39:19] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:40:27] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:41:36] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:42:45] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:43:53] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:45:01] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:46:09] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:47:17] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:48:24] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:49:33] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.16%
[00:50:41] OCR Snapshot: 6.8007 | USD/KZT: 464.50 | FRHC: (Live:146.59, Pre:N/A, Post:N/A) | Calculated: 6.8092 | Diff: 0.12%
[00:51:50] OCR Snapshot: 6.7961 | USD/KZT: 464.50 | FRHC: (Live:146.74, Pre:N/A, Post:N/A) | Calculated: 6.8161 | Diff: 0.29%
[00:52:58] OCR Snapshot: 6.8119 | USD/KZT: 464.50 | FRHC: (Live:146.74, Pre:N/A, Post:N/A) | Calculated: 6.8161 | Diff: 0.06%
[00:54:06] OCR Snapshot: 6.8119 | USD/KZT: 464.50 | FRHC: (Live:147.18, Pre:N/A, Post:N/A) | Calculated: 6.8366 | Diff: 0.36%
[00:55:14] OCR Snapshot: 6.8267 | USD/KZT: 464.50 | FRHC: (Live:147.37, Pre:N/A, Post:N/A) | Calculated: 6.8454 | Diff: 0.27%
[00:56:22] OCR Snapshot: 6.8559 | USD/KZT: 464.50 | FRHC: (Live:147.82, Pre:N/A, Post:N/A) | Calculated: 6.8663 | Diff: 0.15%
[00:57:30] OCR Snapshot: 6.8564 | USD/KZT: 464.50 | FRHC: (Live:147.82, Pre:N/A, Post:N/A) | Calculated: 6.8663 | Diff: 0.14%
[00:58:39] OCR Snapshot: 6.8661 | USD/KZT: 464.50 | FRHC: (Live:147.82, Pre:N/A, Post:N/A) | Calculated: 6.8663 | Diff: 0.00%
[00:59:50] OCR Snapshot: 6.8647 | USD/KZT: 464.50 | FRHC: (Live:148.04, Pre:N/A, Post:N/A) | Calculated: 6.8765 | Diff: 0.17%
[01:00:59] OCR Snapshot: 6.8647 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.22%
[01:02:17] OCR Snapshot: 6.8555 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.35%
[01:03:28] OCR Snapshot: 6.8513 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.41%
[01:04:39] OCR Snapshot: 6.8587 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.31%
[01:05:52] OCR Snapshot: 6.8634 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.24%
[01:07:01] OCR Snapshot: 6.8541 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.37%
[01:08:11] OCR Snapshot: 6.8652 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.21%
[01:09:20] OCR Snapshot: 6.8652 | USD/KZT: 464.16 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8747 | Diff: 0.14%
[01:10:28] OCR Snapshot: 6.8652 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.21%
[01:11:37] OCR Snapshot: 6.8541 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.37%
