[07:42:55] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: N/A
[07:44:04] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:45:14] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:46:23] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:47:31] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:48:40] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:49:51] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[07:51:00] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:52:09] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:53:18] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:54:26] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:55:35] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:56:45] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[07:57:54] OCR Snapshot: 6.7980 | USD/KZT: 464.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8088 | Diff: 0.16%
[09:59:00] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:00:11] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:01:20] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:02:30] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:03:39] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:04:48] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:05:57] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:07:07] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:08:16] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:09:26] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:10:36] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:11:45] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:12:53] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:14:01] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:15:10] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:16:18] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:17:26] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:18:34] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:19:42] OCR Snapshot: 6.7906 | USD/KZT: 464.51 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8079 | Diff: 0.25%
[10:20:52] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:22:00] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:23:09] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:24:17] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:25:25] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:26:33] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:27:41] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:28:49] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:29:58] OCR Snapshot: 6.7906 | USD/KZT: 464.43 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8066 | Diff: 0.24%
[10:31:08] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:32:17] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:33:27] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:34:36] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:35:44] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:36:52] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
