[00:01:10] OCR Snapshot: 6.9787 | USD/KZT: 459.80 | FRHC: (Live:153.07, Pre:N/A, Post:N/A) | Calculated: 7.0382 | Diff: 0.84%
[00:02:25] OCR Snapshot: 6.9787 | USD/KZT: 460.04 | FRHC: (Live:153.07, Pre:N/A, Post:N/A) | Calculated: 7.0418 | Diff: 0.90%
[00:03:36] OCR Snapshot: 6.9641 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.78%
[00:04:46] OCR Snapshot: 6.9641 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.78%
[00:06:03] OCR Snapshot: 6.9641 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.78%
[00:07:18] OCR Snapshot: 6.9627 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.80%
[00:08:26] OCR Snapshot: 6.9787 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.57%
[00:09:34] OCR Snapshot: 6.9590 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.85%
[00:10:42] OCR Snapshot: 6.9613 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.82%
[00:11:51] OCR Snapshot: 6.9590 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.85%
[00:12:59] OCR Snapshot: 6.9590 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.85%
[00:14:08] OCR Snapshot: 6.9590 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.85%
[00:15:21] OCR Snapshot: 6.9869 | USD/KZT: 460.04 | FRHC: (Live:152.57, Pre:N/A, Post:N/A) | Calculated: 7.0188 | Diff: 0.45%
[00:16:36] OCR Snapshot: 6.9874 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.26%
[00:17:45] OCR Snapshot: 6.9874 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.26%
[00:18:53] OCR Snapshot: 6.9654 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.58%
[00:20:13] OCR Snapshot: 6.9751 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.44%
[00:21:41] OCR Snapshot: 6.9751 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.44%
[00:22:56] OCR Snapshot: 6.9751 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.44%
[00:24:20] OCR Snapshot: 6.9837 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.32%
[00:25:32] OCR Snapshot: 6.9837 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.66%
[00:26:43] OCR Snapshot: 6.9705 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.85%
[00:27:53] OCR Snapshot: 6.9705 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.85%
[00:29:05] OCR Snapshot: 6.9778 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.75%
[00:30:17] OCR Snapshot: 6.9892 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.58%
[00:31:29] OCR Snapshot: 6.9892 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 0.58%
[00:32:45] OCR Snapshot: 6.9462 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.20%
[00:33:58] OCR Snapshot: 6.9462 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.20%
